title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Knocked Up,6.266,3670,2007-06-01,129.0,30000000.0,en,Knocked Up,"A slacker and a career-driven woman accidentally conceive a child after a one-night stand. As they try to make the relationship work, they must navigate the challenges of parenthood and their differences in lifestyle and maturity.",22.351,Save the due date.,"Comedy, Romance, Drama","Apatow Productions, Universal Pictures",United States of America,English,"alcohol, pregnancy, bed, one-night stand, condom, paternity, drug use, beard, unprotected sex, duringcreditsstinger",219.922417
My Name Is Khan,8.054,1196,2010-02-10,165.0,12000000.0,hi,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",25.821,"An Ordinary Man, An Extraordinary Journey ... FOR LOVE.","Drama, Romance","Dharma Productions, Fox Searchlight Pictures, Red Chillies Entertainment, Star Studios, Imagenation Abu Dhabi FZ","United Arab Emirates, India, United States of America","English, Hindi","autism, mumbai (bombay), india, based on true story, prejudice, religion, disability, asperger's syndrome, asian american",42.34536
The Conjuring,7.541,10683,2013-07-18,112.0,13000000.0,en,The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",105.394,Based on the true case files of the Warrens,"Horror, Thriller","Evergreen Media Group, New Line Cinema, The Safran Company",United States of America,English,"sibling relationship, 1970s, cellar, exorcism, haunted house, possession, satanism, rhode island, based on true story, paranormal investigation, crucifix, ghost, shocking, demonic, demonology, psychic vision, the conjuring universe",320.406242
Extract,5.806,532,2009-09-03,92.0,8000000.0,en,Extract,"The owner of a factory that produces flavor extracts, Joel Reynold seems to have it all, but really doesn't. What's missing is sexual attention from his wife, Suzie. Joel hatches a convoluted plan to get Suzie to cheat on him, thereby clearing the way for Joel to have an affair with Cindy, an employee. But what Joel doesn't know is that Cindy is a sociopathic con artist, and a freak workplace accident clears the way for her to ruin Joel forever.",12.536,Sticking it to the man has never looked so good.,Comedy,Miramax,United States of America,English,"infidelity, con man, thief, business, manufacturing, industrial accident, duringcreditsstinger, sexless marriage, misfortune",10.848783
Julieta,7.008,796,2016-04-08,96.0,1490000.0,es,Julieta,"The film spans 30 years in Julieta’s life from a nostalgic 1985 where everything seems hopeful, to 2015 where her life appears to be beyond repair and she is on the verge of madness.",13.292,,"Drama, Romance","El Deseo, Canal+, Ciné+, TVE, Echo Lake Entertainment",Spain,Spanish,"depression, friendship, madrid, spain, lover, marriage, female friendship, autobiography, love, loneliness, memory, hospital, single mother, guilt, death, childhood, mother daughter estrangement, mother daughter relationship",22.468044
Unfinished Business,5.445,751,2015-03-05,91.0,35000000.0,en,Unfinished Business,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",10.664,Best business trip ever.,Comedy,"Studio Babelsberg, Regency Enterprises, New Regency Pictures, Escape Artists",United States of America,English,"europe, business trip",14.431253
Almost Christmas,5.926,333,2016-11-11,111.0,17000000.0,en,Almost Christmas,"Walter Meyer is a retired mechanic who lost the love of his life one year earlier. Now that the holiday season is here, he invites daughters Rachel and Cheryl and sons Christian and Evan to his house for a traditional celebration. Poor Walter soon realizes that if his bickering children and the rest of the family can spend five days together under the same roof, it will truly be a Christmas miracle.",9.704,Five days together? Oh joy.,"Comedy, Drama","Will Packer Productions, Universal Pictures",United States of America,English,"thanksgiving, family, death, christmas",42.487325
The Fifth Estate,6.033,932,2013-10-11,128.0,28000000.0,en,The Fifth Estate,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",16.393,You can't expose the world's secrets without exposing yourself,"Drama, Thriller","Participant, Reliance Entertainment, Touchstone Pictures, Anonymous Content, DreamWorks Pictures","India, Belgium, United States of America",English,"journalist, biography, internet, information leak, activist",8.555008
An American Carol,4.262,82,2008-10-03,83.0,20000000.0,en,An American Carol,A cynical anti-American Hollywood filmmaker sets out on a crusade to abolish the 4th of July holiday. He is visited by three spirits who take him on a hilarious journey in an attempt to show him the true meaning of America.,6.487,Laugh like your country depends on it.,"Comedy, Fantasy",Mpower Pictures,United States of America,English,"parody, terrorism, documentary filmmaking, absurd, dubious",7.0
White Squall,6.291,318,1996-02-02,129.0,38000000.0,en,White Squall,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",12.226,The strongest will in nature is the will to survive.,"Drama, Adventure","Hollywood Pictures, Largo Entertainment, Scott Free Productions",United States of America,English,"sailing trip, sailing, diary, coming of age, survival, teenage boy, discipline, squall, sail, caribbean sea, male bonding, seasickness, storm at sea, 1960s",10.3
Mudhalvan,7.2,27,1999-11-07,169.0,7400000.0,ta,முதல்வன்,"A man accepts a challenge to act as the Chief Minister for one day only, and makes such a success of it that soon he is embroiled in political intrigue.",4.839,,Thriller,S Pictures,India,Tamil,,22.0
Raggedy Ann & Andy: A Musical Adventure,6.625,16,1977-04-01,86.0,4000000.0,en,Raggedy Ann & Andy: A Musical Adventure,"Raggedy Ann and Andy leave their playroom to rescue Babette, a beautiful French doll kidnapped by a pirate.",3.131,,"Animation, Adventure, Music, Family, Fantasy, Comedy","International Telephone and Telegraph Corporation, Lester Osterman Productions, Bobbs-Merrill, 20th Century Fox","United Kingdom, United States of America",English,"mutiny, candy, kidnapping, musical, camel, little girl, pirate, dollhouse, new toy, lechery, rag doll, pirate ship, toy comes to life, live action and animation, penny, sock puppet, pincushion man",1.5
The 5th Quarter,5.4,25,2010-04-08,97.0,6000000.0,en,The 5th Quarter,"In the wake of a car crash that killed his brother, football player Jon Abbate leads his school's struggling team to its most successful season ever.",3.864,Rising from tragedy to triumph,Drama,"McCreary Entertainment, Angel City Pictures",United States of America,English,"sports, funeral, prayer, loss of loved one, gymnasium, american football, biography, based on true story, coach, family relationships, car accident",0.399611
Willow,7.024,1755,1988-05-20,126.0,35000000.0,en,Willow,"The evil Queen Bavmorda hunts the newborn princess Elora Danan, a child prophesied to bring about her downfall. When the royal infant is found by Willow, a timid farmer and aspiring sorcerer, he's entrusted with delivering her from evil.",19.187,Adventure doesn't come any bigger than this.,"Action, Adventure, Fantasy","Lucasfilm Ltd., Metro-Goldwyn-Mayer, Imagine Entertainment",United States of America,English,"mission, hero, baby, monster, magic, prophecy, falsely accused, traitor, queen, animal attack, castle, sorcerer's apprentice, black magic, sword and sorcery",57.269863
Appaloosa,6.561,898,2008-09-19,115.0,20000000.0,en,Appaloosa,Two friends hired to police a small town that is suffering under the rule of a rancher find their job complicated by the arrival of a young widow.,18.227,Feelings get you killed.,"Drama, Western, Crime","New Line Cinema, Axon Films, Groundswell Productions",United States of America,"English, Spanish","small town, new mexico, ranch, cowboy, far west",20.211394
The Legend of Tarzan,5.9,5917,2016-06-29,109.0,180000000.0,en,The Legend of Tarzan,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",27.807,Human. Nature.,"Fantasy, Action, Adventure","Village Roadshow Pictures, Dark Horse Entertainment, Beagle Pug Films, Jerry Weintraub Productions, RatPac Entertainment, Riche Productions, Warner Bros. Pictures","Canada, United Kingdom, United States of America",English,"africa, animal attack, feral child, tarzan, jungle",356.743061
